time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180819:1610,24264.0,175.94,106.86,6.24,21.71,30.95,2.41,0.0
20180819:1710,4980.0,31.72,53.06,2.74,10.9,30.31,1.93,0.0
20180819:1810,0.0,0.0,0.0,0.0,0.0,28.02,0.97,0.0
20180819:1910,0.0,0.0,0.0,0.0,0.0,27.28,1.66,0.0
20180819:2010,0.0,0.0,0.0,0.0,0.0,26.5,1.45,0.0
20180819:2110,0.0,0.0,0.0,0.0,0.0,25.53,1.52,0.0
20180819:2210,0.0,0.0,0.0,0.0,0.0,24.53,1.66,0.0
20180819:2310,0.0,0.0,0.0,0.0,0.0,23.57,1.86,0.0
20180820:0010,0.0,0.0,0.0,0.0,0.0,22.99,1.86,0.0
20180820:0110,0.0,0.0,0.0,0.0,0.0,22.41,2.0,0.0
20180820:0210,0.0,0.0,0.0,0.0,0.0,21.92,2.07,0.0
20180820:0310,0.0,0.0,0.0,0.0,0.0,21.7,2.0,0.0
20180820:0410,0.0,0.0,0.0,0.0,0.0,21.45,1.86,0.0
20180820:0510,2176.8,0.0,35.28,0.85,6.61,21.17,1.86,0.0
20180820:0610,14788.8,97.79,87.23,4.71,17.38,22.57,1.52,0.0
20180820:0710,36836.4,262.55,137.0,8.33,28.17,26.12,1.45,0.0
20180820:0810,56640.0,443.04,170.27,11.73,38.57,28.47,1.52,0.0
20180820:0910,71061.6,571.16,208.48,14.29,47.96,29.91,2.21,0.0
20180820:1010,83028.0,754.18,182.22,16.66,55.23,30.99,2.0,0.0
20180820:1110,85482.0,791.23,194.55,17.38,58.7,31.79,1.45,0.0
20180820:1210,81744.0,729.53,217.24,16.75,57.08,32.29,1.1,0.0
20180820:1310,63728.4,395.04,320.06,13.31,51.02,32.61,1.31,0.0
20180820:1410,32508.0,64.78,293.36,7.64,42.27,32.45,1.79,0.0
20180820:1510,24859.2,49.47,225.12,5.93,32.15,31.46,3.24,0.0
20180820:1610,13903.2,21.83,141.41,3.66,21.45,30.63,2.48,0.0
20180820:1710,5228.4,15.49,63.57,2.19,10.63,30.12,1.17,0.0
