time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,0.0,8.65,2.41,0.0
20180101:0110,0.0,0.0,0.0,0.0,0.0,8.64,2.48,0.0
20180101:0210,0.0,0.0,0.0,0.0,0.0,9.2,2.83,0.0
20180101:0310,0.0,0.0,0.0,0.0,0.0,9.58,3.1,0.0
20180101:0410,0.0,0.0,0.0,0.0,0.0,9.8,2.9,0.0
20180101:0510,0.0,0.0,0.0,0.0,0.0,10.05,2.55,0.0
20180101:0610,0.0,0.0,0.0,0.0,0.0,10.26,2.34,0.0
20180101:0710,0.0,0.0,1.8,0.04,1.92,10.35,2.21,0.0
20180101:0810,8036.4,25.45,67.37,1.56,10.15,10.54,1.79,0.0
20180101:0910,1093.2,0.0,21.55,0.49,16.78,11.11,1.52,0.0
20180101:1010,4951.2,0.0,62.84,1.42,21.29,11.56,2.48,0.0
20180101:1110,49350.0,268.64,215.53,6.08,23.22,11.75,2.9,0.0
20180101:1210,62077.2,409.95,196.63,6.56,22.34,11.25,3.72,0.0
20180101:1310,19905.6,57.74,144.95,3.48,18.77,11.06,4.48,0.0
20180101:1410,34910.4,221.22,121.97,3.31,12.88,11.14,4.34,0.0
20180101:1510,16112.4,127.04,45.61,1.12,5.2,10.96,3.1,0.0
20180101:1610,0.0,0.0,0.0,0.0,0.0,10.13,3.72,0.0
20180101:1710,0.0,0.0,0.0,0.0,0.0,9.86,2.97,0.0
20180101:1810,0.0,0.0,0.0,0.0,0.0,9.76,2.62,0.0
20180101:1910,0.0,0.0,0.0,0.0,0.0,10.44,5.38,0.0
20180101:2010,0.0,0.0,0.0,0.0,0.0,11.27,8.55,0.0
20180101:2110,0.0,0.0,0.0,0.0,0.0,11.81,8.41,0.0
20180101:2210,0.0,0.0,0.0,0.0,0.0,11.72,8.28,0.0
20180101:2310,0.0,0.0,0.0,0.0,0.0,11.57,7.52,0.0
20180102:0010,0.0,0.0,0.0,0.0,0.0,11.22,5.86,0.0
20180102:0110,0.0,0.0,0.0,0.0,0.0,10.74,3.52,0.0
20180102:0210,0.0,0.0,0.0,0.0,0.0,9.78,1.72,0.0
20180102:0310,0.0,0.0,0.0,0.0,0.0,9.31,1.1,0.0
20180102:0410,0.0,0.0,0.0,0.0,0.0,8.66,1.66,0.0
20180102:0510,0.0,0.0,0.0,0.0,0.0,7.27,2.07,0.0
20180102:0610,0.0,0.0,0.0,0.0,0.0,6.32,2.62,0.0
20180102:0710,133.2,0.0,8.08,0.18,1.92,6.84,2.14,0.0
20180102:0810,42217.2,323.56,88.52,3.03,10.17,6.9,2.28,0.0
20180102:0910,64782.0,523.11,115.44,5.61,16.82,9.35,2.07,0.0
20180102:1010,77185.2,641.75,130.15,7.32,21.35,11.52,2.62,0.0
20180102:1110,83191.2,696.21,135.77,8.07,23.3,12.71,3.72,0.0
20180102:1210,78523.2,625.35,152.08,7.56,22.44,13.37,4.83,0.0
20180102:1310,48752.4,297.1,180.27,5.24,18.88,13.51,5.03,0.0
20180102:1410,56710.8,465.13,92.21,4.27,13.01,13.18,5.03,0.0
20180102:1510,23091.6,194.16,46.09,1.3,5.33,12.37,4.83,0.0
20180102:1610,0.0,0.0,0.0,0.0,0.0,11.41,4.34,0.0
20180102:1710,0.0,0.0,0.0,0.0,0.0,10.82,3.86,0.0
20180102:1810,0.0,0.0,0.0,0.0,0.0,10.31,3.03,0.0
20180102:1910,0.0,0.0,0.0,0.0,0.0,9.67,1.93,0.0
20180102:2010,0.0,0.0,0.0,0.0,0.0,10.0,1.17,0.0
20180102:2110,0.0,0.0,0.0,0.0,0.0,9.38,1.03,0.0
20180102:2210,0.0,0.0,0.0,0.0,0.0,6.83,1.66,0.0
20180102:2310,0.0,0.0,0.0,0.0,0.0,6.05,1.93,0.0
20180103:0010,0.0,0.0,0.0,0.0,0.0,7.65,1.59,0.0
20180103:0110,0.0,0.0,0.0,0.0,0.0,7.77,1.17,0.0
20180103:0210,0.0,0.0,0.0,0.0,0.0,7.95,0.62,0.0
20180103:0310,0.0,0.0,0.0,0.0,0.0,7.45,1.03,0.0
20180103:0410,0.0,0.0,0.0,0.0,0.0,5.49,1.38,0.0
20180103:0510,0.0,0.0,0.0,0.0,0.0,5.47,1.31,0.0
20180103:0610,0.0,0.0,0.0,0.0,0.0,5.9,0.97,0.0
20180103:0710,0.0,0.0,2.69,0.06,1.92,5.38,1.66,0.0
20180103:0810,6847.2,15.8,64.35,1.48,10.19,6.75,1.17,0.0
20180103:0910,4026.0,0.0,52.97,1.2,16.86,8.86,2.41,0.0
20180103:1010,14269.2,15.77,135.01,3.13,21.41,10.29,3.03,0.0
20180103:1110,3883.2,0.0,52.07,1.18,23.39,11.75,3.45,0.0
20180103:1210,3871.2,0.0,52.07,1.18,22.55,12.56,5.31,0.0
20180103:1310,19141.2,52.49,144.57,3.45,19.01,13.36,6.55,0.0
20180103:1410,656.4,0.0,16.16,0.37,13.14,14.33,8.07,0.0
20180103:1510,19796.4,160.9,48.72,1.26,5.47,14.64,7.79,0.0
20180103:1610,0.0,0.0,0.0,0.0,0.0,14.37,5.45,0.0
20180103:1710,0.0,0.0,0.0,0.0,0.0,13.23,3.45,0.0
20180103:1810,0.0,0.0,0.0,0.0,0.0,12.13,2.48,0.0
20180103:1910,0.0,0.0,0.0,0.0,0.0,10.93,1.52,0.0
20180103:2010,0.0,0.0,0.0,0.0,0.0,10.79,0.48,0.0
20180103:2110,0.0,0.0,0.0,0.0,0.0,8.45,1.17,0.0
20180103:2210,0.0,0.0,0.0,0.0,0.0,7.71,1.24,0.0
20180103:2310,0.0,0.0,0.0,0.0,0.0,8.92,0.76,0.0
20180104:0010,0.0,0.0,0.0,0.0,0.0,8.38,0.41,0.0
20180104:0110,0.0,0.0,0.0,0.0,0.0,6.22,1.03,0.0
20180104:0210,0.0,0.0,0.0,0.0,0.0,6.07,0.62,0.0
20180104:0310,0.0,0.0,0.0,0.0,0.0,6.7,0.28,0.0
20180104:0410,0.0,0.0,0.0,0.0,0.0,7.15,0.21,0.0
20180104:0510,0.0,0.0,0.0,0.0,0.0,6.85,0.76,0.0
20180104:0610,0.0,0.0,0.0,0.0,0.0,6.9,0.83,0.0
20180104:0710,0.0,0.0,5.39,0.12,1.93,5.46,2.28,0.0
20180104:0810,7246.8,18.89,64.98,1.5,10.22,6.78,2.34,0.0
20180104:0910,20199.6,68.99,135.09,3.27,16.91,8.49,2.48,0.0
20180104:1010,10320.0,2.25,111.69,2.54,21.49,9.84,2.55,0.0
20180104:1110,10726.8,2.18,116.15,2.64,23.49,10.99,2.48,0.0
20180104:1210,7222.8,0.0,85.29,1.93,22.67,12.01,2.62,0.0
20180104:1310,72194.4,617.49,107.39,6.5,19.14,12.8,2.41,0.0
20180104:1410,10090.8,25.31,87.9,2.05,13.28,13.13,2.28,0.0
20180104:1510,1081.2,0.0,21.55,0.49,5.61,12.93,2.0,0.0
20180104:1610,0.0,0.0,0.0,0.0,0.0,12.43,2.07,0.0
20180104:1710,0.0,0.0,0.0,0.0,0.0,12.05,2.28,0.0
20180104:1810,0.0,0.0,0.0,0.0,0.0,11.83,2.21,0.0
20180104:1910,0.0,0.0,0.0,0.0,0.0,12.43,2.9,0.0
20180104:2010,0.0,0.0,0.0,0.0,0.0,12.29,2.83,0.0
20180104:2110,0.0,0.0,0.0,0.0,0.0,12.19,2.62,0.0
20180104:2210,0.0,0.0,0.0,0.0,0.0,11.93,2.41,0.0
20180104:2310,0.0,0.0,0.0,0.0,0.0,11.5,1.59,0.0
20180105:0010,0.0,0.0,0.0,0.0,0.0,10.46,2.07,0.0
20180105:0110,0.0,0.0,0.0,0.0,0.0,10.33,2.14,0.0
20180105:0210,0.0,0.0,0.0,0.0,0.0,10.08,2.14,0.0
20180105:0310,0.0,0.0,0.0,0.0,0.0,10.04,2.07,0.0
20180105:0410,0.0,0.0,0.0,0.0,0.0,9.83,2.0,0.0
20180105:0510,0.0,0.0,0.0,0.0,0.0,9.86,2.21,0.0
20180105:0610,0.0,0.0,0.0,0.0,0.0,10.06,2.48,0.0
20180105:0710,0.0,0.0,2.69,0.06,1.95,10.98,3.17,0.0
20180105:0810,4885.2,6.27,55.93,1.28,10.26,11.57,3.1,0.0
20180105:0910,5109.6,0.0,64.64,1.46,16.97,12.52,3.1,0.0
20180105:1010,45565.2,250.85,199.02,5.59,21.57,13.33,3.1,0.0
20180105:1110,30340.8,106.64,197.39,4.92,23.59,14.13,3.52,0.0
20180105:1210,26104.8,81.78,182.56,4.47,22.79,14.32,3.38,0.0
20180105:1310,1597.2,0.0,27.83,0.63,19.27,14.46,3.38,0.0
20180105:1410,1219.2,0.0,23.34,0.53,13.42,14.33,2.83,0.0
20180105:1510,723.6,0.0,17.06,0.39,5.75,13.95,1.72,0.0
20180105:1610,0.0,0.0,0.0,0.0,0.0,13.42,0.9,0.0
20180105:1710,0.0,0.0,0.0,0.0,0.0,12.37,0.9,0.0
20180105:1810,0.0,0.0,0.0,0.0,0.0,11.45,0.9,0.0
20180105:1910,0.0,0.0,0.0,0.0,0.0,11.42,0.62,0.0
20180105:2010,0.0,0.0,0.0,0.0,0.0,11.28,0.0,0.0
20180105:2110,0.0,0.0,0.0,0.0,0.0,10.88,0.07,0.0
20180105:2210,0.0,0.0,0.0,0.0,0.0,9.61,0.76,0.0
20180105:2310,0.0,0.0,0.0,0.0,0.0,8.97,1.45,0.0
20180106:0010,0.0,0.0,0.0,0.0,0.0,9.09,1.86,0.0
20180106:0110,0.0,0.0,0.0,0.0,0.0,9.56,2.14,0.0
20180106:0210,0.0,0.0,0.0,0.0,0.0,9.87,2.48,0.0
20180106:0310,0.0,0.0,0.0,0.0,0.0,10.17,2.62,0.0
20180106:0410,0.0,0.0,0.0,0.0,0.0,10.41,2.62,0.0
20180106:0510,0.0,0.0,0.0,0.0,0.0,10.65,2.55,0.0
20180106:0610,0.0,0.0,0.0,0.0,0.0,10.88,2.48,0.0
20180106:0710,0.0,0.0,0.9,0.02,1.98,11.22,2.41,0.0
20180106:0810,3105.6,0.0,43.99,1.0,10.3,11.47,2.55,0.0
20180106:0910,4848.0,0.0,61.95,1.4,17.03,12.12,2.76,0.0
20180106:1010,3861.6,0.0,52.07,1.18,21.66,12.74,2.76,0.0
20180106:1110,7550.4,0.0,88.88,2.01,23.7,13.22,2.83,0.0
20180106:1210,3072.0,0.0,43.99,1.0,22.92,13.56,2.55,0.0
20180106:1310,14755.2,25.87,131.93,3.09,19.42,13.99,2.48,0.0
20180106:1410,8852.4,16.62,85.05,1.97,13.57,13.82,2.21,0.0
20180106:1510,76.8,0.0,7.18,0.16,5.91,13.5,2.07,0.0
20180106:1610,0.0,0.0,0.0,0.0,0.0,12.84,2.07,0.0
20180106:1710,0.0,0.0,0.0,0.0,0.0,12.24,2.21,0.0
20180106:1810,0.0,0.0,0.0,0.0,0.0,12.1,2.48,0.0
20180106:1910,0.0,0.0,0.0,0.0,0.0,11.71,2.9,0.0
20180106:2010,0.0,0.0,0.0,0.0,0.0,11.47,2.9,0.0
20180106:2110,0.0,0.0,0.0,0.0,0.0,11.11,2.9,0.0
20180106:2210,0.0,0.0,0.0,0.0,0.0,10.68,2.97,0.0
20180106:2310,0.0,0.0,0.0,0.0,0.0,10.1,3.03,0.0
20180107:0010,0.0,0.0,0.0,0.0,0.0,9.5,3.03,0.0
20180107:0110,0.0,0.0,0.0,0.0,0.0,9.12,2.97,0.0
20180107:0210,0.0,0.0,0.0,0.0,0.0,8.65,2.9,0.0
20180107:0310,0.0,0.0,0.0,0.0,0.0,8.05,2.83,0.0
20180107:0410,0.0,0.0,0.0,0.0,0.0,7.64,2.9,0.0
20180107:0510,0.0,0.0,0.0,0.0,0.0,7.58,2.97,0.0
20180107:0610,0.0,0.0,0.0,0.0,0.0,7.71,3.03,0.0
20180107:0710,82.8,0.0,7.18,0.16,2.01,8.24,3.1,0.0
20180107:0810,5697.6,9.3,60.17,1.38,10.35,8.68,2.97,0.0
20180107:0910,38677.2,219.23,159.37,4.39,17.11,10.4,2.9,0.0
20180107:1010,20986.8,51.15,163.76,3.92,21.75,12.63,2.97,0.0
20180107:1110,6870.0,0.0,82.6,1.87,23.82,14.37,3.31,0.0
20180107:1210,11733.6,4.39,125.53,2.87,23.06,15.29,3.52,0.0
20180107:1310,17136.0,39.78,141.42,3.35,19.56,15.8,3.52,0.0
20180107:1410,9748.8,21.97,88.91,2.07,13.73,15.59,3.59,0.0
20180107:1510,2763.6,8.95,32.23,0.73,6.06,15.12,3.31,0.0
20180107:1610,0.0,0.0,0.0,0.0,0.0,14.09,3.17,0.0
20180107:1710,0.0,0.0,0.0,0.0,0.0,13.31,3.03,0.0
20180107:1810,0.0,0.0,0.0,0.0,0.0,12.36,2.9,0.0
20180107:1910,0.0,0.0,0.0,0.0,0.0,11.82,2.97,0.0
20180107:2010,0.0,0.0,0.0,0.0,0.0,11.23,2.83,0.0
20180107:2110,0.0,0.0,0.0,0.0,0.0,10.53,2.76,0.0
20180107:2210,0.0,0.0,0.0,0.0,0.0,10.03,2.76,0.0
20180107:2310,0.0,0.0,0.0,0.0,0.0,9.84,2.76,0.0
20180108:0010,0.0,0.0,0.0,0.0,0.0,9.61,2.69,0.0
20180108:0110,0.0,0.0,0.0,0.0,0.0,9.33,2.48,0.0
20180108:0210,0.0,0.0,0.0,0.0,0.0,9.23,2.48,0.0
20180108:0310,0.0,0.0,0.0,0.0,0.0,9.2,2.62,0.0
20180108:0410,0.0,0.0,0.0,0.0,0.0,9.08,2.76,0.0
20180108:0510,0.0,0.0,0.0,0.0,0.0,8.94,2.83,0.0
20180108:0610,0.0,0.0,0.0,0.0,0.0,8.8,2.9,0.0
20180108:0710,0.0,0.0,0.9,0.02,2.05,9.35,3.03,0.0
20180108:0810,4278.0,3.08,52.6,1.2,10.41,9.79,3.17,0.0
20180108:0910,18589.2,58.2,133.34,3.21,17.18,11.4,2.83,0.0
20180108:1010,14191.2,15.51,136.71,3.17,21.86,13.28,2.21,0.0
20180108:1110,16032.0,17.22,153.24,3.56,23.95,14.55,2.41,0.0
20180108:1210,6380.4,0.0,78.11,1.77,23.2,15.16,2.14,0.0
20180108:1310,10999.2,9.31,113.9,2.62,19.72,15.68,2.34,0.0
20180108:1410,3718.8,0.0,51.17,1.16,13.89,15.66,3.03,0.0
20180108:1510,282.0,0.0,10.77,0.24,6.23,15.05,3.24,0.0
20180108:1610,0.0,0.0,0.0,0.0,0.0,14.05,3.59,0.0
20180108:1710,0.0,0.0,0.0,0.0,0.0,13.55,3.79,0.0
20180108:1810,0.0,0.0,0.0,0.0,0.0,13.12,3.59,0.0
20180108:1910,0.0,0.0,0.0,0.0,0.0,12.99,3.1,0.0
20180108:2010,0.0,0.0,0.0,0.0,0.0,12.23,2.62,0.0
20180108:2110,0.0,0.0,0.0,0.0,0.0,11.35,2.14,0.0
20180108:2210,0.0,0.0,0.0,0.0,0.0,11.06,2.76,0.0
20180108:2310,0.0,0.0,0.0,0.0,0.0,10.88,3.03,0.0
20180109:0010,0.0,0.0,0.0,0.0,0.0,11.16,3.38,0.0
20180109:0110,0.0,0.0,0.0,0.0,0.0,11.25,3.66,0.0
20180109:0210,0.0,0.0,0.0,0.0,0.0,11.25,3.45,0.0
20180109:0310,0.0,0.0,0.0,0.0,0.0,10.96,3.17,0.0
20180109:0410,0.0,0.0,0.0,0.0,0.0,10.95,3.03,0.0
20180109:0510,0.0,0.0,0.0,0.0,0.0,10.97,3.03,0.0
20180109:0610,0.0,0.0,0.0,0.0,0.0,11.06,2.97,0.0
20180109:0710,0.0,0.0,0.0,0.0,0.0,10.91,3.03,0.0
20180109:0810,43646.4,351.9,82.77,3.21,10.47,11.41,2.48,0.0
20180109:0910,61375.2,492.4,118.71,5.57,17.27,12.13,2.14,0.0
20180109:1010,71960.4,571.42,150.4,7.17,21.97,12.86,2.48,0.0
20180109:1110,25074.0,66.46,187.92,4.55,24.08,13.08,2.14,0.0
20180109:1210,19363.2,34.78,164.32,3.88,23.35,11.67,2.83,0.0
20180109:1310,49155.6,303.16,182.91,5.47,19.88,11.99,2.0,0.0
20180109:1410,26254.8,137.72,127.3,3.21,14.05,12.08,1.93,0.0
20180109:1510,16839.6,119.94,59.63,1.36,6.39,11.37,1.66,0.0
20180109:1610,0.0,0.0,0.0,0.0,0.0,10.66,1.45,0.0
20180109:1710,0.0,0.0,0.0,0.0,0.0,9.86,0.48,0.0
20180109:1810,0.0,0.0,0.0,0.0,0.0,9.31,0.07,0.0
20180109:1910,0.0,0.0,0.0,0.0,0.0,8.99,1.03,0.0
20180109:2010,0.0,0.0,0.0,0.0,0.0,8.4,1.03,0.0
20180109:2110,0.0,0.0,0.0,0.0,0.0,7.89,1.24,0.0
20180109:2210,0.0,0.0,0.0,0.0,0.0,7.48,1.1,0.0
20180109:2310,0.0,0.0,0.0,0.0,0.0,8.27,0.48,0.0
20180110:0010,0.0,0.0,0.0,0.0,0.0,8.08,0.34,0.0
20180110:0110,0.0,0.0,0.0,0.0,0.0,7.41,0.28,0.0
20180110:0210,0.0,0.0,0.0,0.0,0.0,7.15,0.41,0.0
20180110:0310,0.0,0.0,0.0,0.0,0.0,7.21,0.55,0.0
20180110:0410,0.0,0.0,0.0,0.0,0.0,6.77,0.76,0.0
20180110:0510,0.0,0.0,0.0,0.0,0.0,6.76,0.83,0.0
20180110:0610,0.0,0.0,0.0,0.0,0.0,6.71,0.76,0.0
20180110:0710,0.0,0.0,0.0,0.0,0.0,6.25,1.93,0.0
20180110:0810,21531.6,121.52,95.3,2.36,10.54,6.69,1.86,0.0
20180110:0910,7092.0,0.0,82.6,1.87,17.36,7.54,1.86,0.0
20180110:1010,41402.4,202.1,201.33,5.43,22.08,8.59,1.79,0.0
20180110:1110,2037.6,0.0,32.32,0.73,24.22,9.88,1.72,0.0
20180110:1210,56356.8,344.04,214.1,6.58,23.51,10.74,1.52,0.0
20180110:1310,25659.6,92.04,166.41,4.1,20.05,11.58,1.72,0.0
20180110:1410,34297.2,208.78,133.25,3.62,14.23,11.81,1.66,0.0
20180110:1510,2042.4,4.19,28.5,0.65,6.56,11.49,1.1,0.0
20180110:1610,0.0,0.0,0.0,0.0,0.0,10.55,1.03,0.0
20180110:1710,0.0,0.0,0.0,0.0,0.0,9.42,0.9,0.0
20180110:1810,0.0,0.0,0.0,0.0,0.0,8.69,0.97,0.0
20180110:1910,0.0,0.0,0.0,0.0,0.0,8.42,1.66,0.0
20180110:2010,0.0,0.0,0.0,0.0,0.0,8.23,1.86,0.0
20180110:2110,0.0,0.0,0.0,0.0,0.0,8.16,2.0,0.0
20180110:2210,0.0,0.0,0.0,0.0,0.0,7.86,2.34,0.0
20180110:2310,0.0,0.0,0.0,0.0,0.0,8.01,2.55,0.0
20180111:0010,0.0,0.0,0.0,0.0,0.0,7.97,2.62,0.0
20180111:0110,0.0,0.0,0.0,0.0,0.0,8.01,2.55,0.0
20180111:0210,0.0,0.0,0.0,0.0,0.0,7.9,2.48,0.0
20180111:0310,0.0,0.0,0.0,0.0,0.0,7.47,2.55,0.0
20180111:0410,0.0,0.0,0.0,0.0,0.0,7.68,2.55,0.0
20180111:0510,0.0,0.0,0.0,0.0,0.0,7.84,2.69,0.0
20180111:0610,0.0,0.0,0.0,0.0,0.0,7.9,2.62,0.0
20180111:0710,240.0,0.0,9.88,0.22,2.2,8.13,2.62,0.0
20180111:0810,16868.4,84.42,90.3,2.17,10.62,8.63,2.69,0.0
20180111:0910,5274.0,0.0,65.54,1.48,17.46,9.59,2.69,0.0
20180111:1010,18867.6,34.99,158.15,3.74,22.21,10.11,2.9,0.0
20180111:1110,18426.0,25.51,163.98,3.84,24.37,10.61,3.1,0.0
20180111:1210,39350.4,174.43,211.22,5.55,23.68,10.78,2.69,0.0
20180111:1310,25844.4,91.49,167.08,4.13,20.22,11.0,2.69,0.0
20180111:1410,17535.6,66.32,114.81,2.76,14.4,10.61,3.24,0.0
20180111:1510,129.6,0.0,8.08,0.18,6.74,10.02,3.31,0.0
20180111:1610,0.0,0.0,0.0,0.0,0.0,9.38,3.24,0.0
20180111:1710,0.0,0.0,0.0,0.0,0.0,8.94,2.97,0.0
20180111:1810,0.0,0.0,0.0,0.0,0.0,8.63,2.76,0.0
20180111:1910,0.0,0.0,0.0,0.0,0.0,8.48,2.34,0.0
20180111:2010,0.0,0.0,0.0,0.0,0.0,8.2,2.21,0.0
20180111:2110,0.0,0.0,0.0,0.0,0.0,8.1,1.79,0.0
20180111:2210,0.0,0.0,0.0,0.0,0.0,7.86,1.79,0.0
20180111:2310,0.0,0.0,0.0,0.0,0.0,7.8,1.52,0.0
20180112:0010,0.0,0.0,0.0,0.0,0.0,7.89,1.17,0.0
20180112:0110,0.0,0.0,0.0,0.0,0.0,7.47,1.17,0.0
20180112:0210,0.0,0.0,0.0,0.0,0.0,7.09,1.38,0.0
20180112:0310,0.0,0.0,0.0,0.0,0.0,6.92,1.45,0.0
20180112:0410,0.0,0.0,0.0,0.0,0.0,6.52,1.45,0.0
20180112:0510,0.0,0.0,0.0,0.0,0.0,6.05,1.52,0.0
20180112:0610,0.0,0.0,0.0,0.0,0.0,5.9,1.72,0.0
20180112:0710,243.6,0.0,9.88,0.22,2.26,5.7,1.79,0.0
20180112:0810,38247.6,278.11,96.36,3.05,10.7,6.76,1.93,0.0
20180112:0910,65067.6,525.05,113.91,5.83,17.57,8.16,1.86,0.0
20180112:1010,79599.6,668.21,123.51,7.72,22.34,9.19,2.28,0.0
20180112:1110,85010.4,721.53,130.2,8.51,24.52,10.1,2.55,0.0
20180112:1210,87015.6,769.25,106.3,8.54,23.85,10.83,2.69,0.0
20180112:1310,77378.4,661.52,106.41,7.13,20.4,11.21,3.17,0.0
20180112:1410,52948.8,404.76,114.21,4.49,14.59,11.16,3.31,0.0
20180112:1510,25390.8,192.53,67.29,1.73,6.92,10.84,3.24,0.0
20180112:1610,0.0,0.0,0.0,0.0,0.0,9.96,2.9,0.0
20180112:1710,0.0,0.0,0.0,0.0,0.0,8.95,2.14,0.0
20180112:1810,0.0,0.0,0.0,0.0,0.0,7.71,1.93,0.0
20180112:1910,0.0,0.0,0.0,0.0,0.0,6.44,2.07,0.0
20180112:2010,0.0,0.0,0.0,0.0,0.0,6.01,1.66,0.0
20180112:2110,0.0,0.0,0.0,0.0,0.0,6.92,1.17,0.0
20180112:2210,0.0,0.0,0.0,0.0,0.0,6.38,1.17,0.0
20180112:2310,0.0,0.0,0.0,0.0,0.0,6.29,0.97,0.0
20180113:0010,0.0,0.0,0.0,0.0,0.0,6.26,0.76,0.0
20180113:0110,0.0,0.0,0.0,0.0,0.0,6.35,0.48,0.0
20180113:0210,0.0,0.0,0.0,0.0,0.0,6.24,0.28,0.0
20180113:0310,0.0,0.0,0.0,0.0,0.0,5.99,0.21,0.0
20180113:0410,0.0,0.0,0.0,0.0,0.0,5.71,0.28,0.0
20180113:0510,0.0,0.0,0.0,0.0,0.0,5.42,0.48,0.0
20180113:0610,0.0,0.0,0.0,0.0,0.0,5.01,0.76,0.0
20180113:0710,3964.8,43.24,12.24,0.33,2.33,6.16,0.55,0.0
20180113:0810,40021.2,302.42,92.69,3.15,10.79,6.13,0.41,0.0
20180113:0910,63746.4,522.01,114.84,5.85,17.68,7.02,0.21,0.0
20180113:1010,76100.4,654.1,128.58,7.7,22.48,9.6,0.28,0.0
20180113:1110,83344.8,716.01,134.23,8.56,24.68,10.57,1.45,0.0
20180113:1210,81895.2,680.05,139.84,8.21,24.03,11.3,2.83,0.0
20180113:1310,65347.2,487.95,160.94,6.5,20.59,11.65,2.34,0.0
20180113:1410,50432.4,380.16,121.73,4.47,14.77,11.61,1.52,0.0
20180113:1510,10692.0,62.79,57.12,1.3,7.11,11.06,0.9,0.0
20180113:1610,0.0,0.0,0.0,0.0,0.0,10.49,0.48,0.0
20180113:1710,0.0,0.0,0.0,0.0,0.0,10.01,0.41,0.0
20180113:1810,0.0,0.0,0.0,0.0,0.0,9.28,0.62,0.0
20180113:1910,0.0,0.0,0.0,0.0,0.0,8.98,0.69,0.0
20180113:2010,0.0,0.0,0.0,0.0,0.0,8.23,0.9,0.0
20180113:2110,0.0,0.0,0.0,0.0,0.0,7.09,0.97,0.0
20180113:2210,0.0,0.0,0.0,0.0,0.0,5.96,1.17,0.0
20180113:2310,0.0,0.0,0.0,0.0,0.0,4.57,1.31,0.0
20180114:0010,0.0,0.0,0.0,0.0,0.0,4.1,1.31,0.0
20180114:0110,0.0,0.0,0.0,0.0,0.0,3.7,1.31,0.0
20180114:0210,0.0,0.0,0.0,0.0,0.0,2.53,1.59,0.0
20180114:0310,0.0,0.0,0.0,0.0,0.0,1.78,1.93,0.0
20180114:0410,0.0,0.0,0.0,0.0,0.0,1.54,2.07,0.0
20180114:0510,0.0,0.0,0.0,0.0,0.0,1.5,2.07,0.0
20180114:0610,0.0,0.0,0.0,0.0,0.0,1.42,2.14,0.0
20180114:0710,2398.8,25.08,12.27,0.3,2.41,2.27,1.86,0.0
20180114:0810,29701.2,185.11,103.39,2.76,10.89,3.04,1.79,0.0
20180114:0910,53683.2,363.9,155.77,5.3,17.81,6.32,1.66,0.0
20180114:1010,53376.0,310.3,208.52,6.26,22.63,8.16,2.0,0.0
20180114:1110,61248.0,373.02,225.22,7.13,24.85,8.93,2.34,0.0
20180114:1210,61244.4,381.71,218.45,7.01,24.21,9.47,2.28,0.0
20180114:1310,21313.2,56.11,159.6,3.84,20.78,9.85,2.28,0.0
20180114:1410,10348.8,18.05,96.12,2.24,14.97,9.93,2.14,0.0
20180114:1510,8877.6,46.08,55.28,1.26,7.3,9.54,1.93,0.0
20180114:1610,0.0,0.0,0.0,0.0,0.0,8.52,1.86,0.0
20180114:1710,0.0,0.0,0.0,0.0,0.0,7.15,1.72,0.0
20180114:1810,0.0,0.0,0.0,0.0,0.0,5.93,1.72,0.0
20180114:1910,0.0,0.0,0.0,0.0,0.0,5.52,1.59,0.0
20180114:2010,0.0,0.0,0.0,0.0,0.0,4.53,1.79,0.0
20180114:2110,0.0,0.0,0.0,0.0,0.0,4.02,1.93,0.0
20180114:2210,0.0,0.0,0.0,0.0,0.0,3.61,2.0,0.0
20180114:2310,0.0,0.0,0.0,0.0,0.0,3.37,1.93,0.0
20180115:0010,0.0,0.0,0.0,0.0,0.0,2.97,1.93,0.0
20180115:0110,0.0,0.0,0.0,0.0,0.0,2.44,1.93,0.0
20180115:0210,0.0,0.0,0.0,0.0,0.0,2.12,1.93,0.0
20180115:0310,0.0,0.0,0.0,0.0,0.0,1.9,1.86,0.0
20180115:0410,0.0,0.0,0.0,0.0,0.0,1.77,1.86,0.0
20180115:0510,0.0,0.0,0.0,0.0,0.0,1.57,1.86,0.0
20180115:0610,0.0,0.0,0.0,0.0,0.0,1.46,1.93,0.0
20180115:0710,6340.8,64.58,14.59,0.41,2.49,1.93,1.93,0.0
20180115:0810,42526.8,320.19,88.8,3.25,10.99,2.79,1.66,0.0
20180115:0910,65928.0,527.26,114.3,5.95,17.93,5.74,1.66,0.0
20180115:1010,78969.6,653.78,129.14,7.78,22.78,7.62,1.86,0.0
20180115:1110,84514.8,717.25,133.2,8.64,25.03,8.89,1.79,0.0
20180115:1210,72166.8,529.4,190.46,7.72,24.4,9.63,1.66,0.0
20180115:1310,48352.8,280.96,194.03,5.67,20.98,10.06,1.66,0.0
20180115:1410,45400.8,311.65,135.89,4.33,15.17,10.22,1.66,0.0
20180115:1510,23706.0,172.85,71.0,1.81,7.49,10.0,1.38,0.0
20180115:1610,0.0,0.0,0.0,0.0,0.0,9.24,1.1,0.0
20180115:1710,0.0,0.0,0.0,0.0,0.0,8.06,1.17,0.0
